eventID,parentEventID,eventDate,type,eventType,language,license,bibliographicCitation,institutionCode,datasetName,samplingProtocol,year,month,day,continent,country,countryCode,province,municipality,locality,decimalLatitude,decimalLongitude,verbatimCoordinates,verbatimElevation,habitat,eventRemarks,fieldNumber,locationID
ASH11-20220420,NA,2022-04-20,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,20,Europe,Spain,ES,Granada,Alhama de Granada,Cuerda Granada al puerto de Cómpeta,36.8813888889,-3.92538888889,36⁰ 52’ 53’’ N 03⁰ 55’ 31.4’’ W,1510,Pinus sylvestris tree,asymptomatic,ASH11,Sierra de Almijara
ASH12-20220420,NA,2022-04-20,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,20,Europe,Spain,ES,Granada,Alhama de Granada,Cuerda Granada al puerto de Cómpeta,36.8813888889,-3.92538888889,36⁰ 52’ 53’’ N 03⁰ 55’ 31.4’’ W,1510,Pinus sylvestris tree,asymptomatic,ASH12,Sierra de Almijara
BSD01-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD01,Sierra de Baza
BSD02-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD02,Sierra de Baza
BSD03-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD03,Sierra de Baza
BSD04-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD04,Sierra de Baza
BSD05-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD05,Sierra de Baza
BSD06-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD06,Sierra de Baza
BSD07-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD07,Sierra de Baza
BSD08-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD08,Sierra de Baza
BSD09-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD09,Sierra de Baza
BSD10-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD10,Sierra de Baza
BSD11-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD11,Sierra de Baza
BSD12-20220427,NA,2022-04-27,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,4,27,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD12,Sierra de Baza
NSD01-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD01,Sierra Nevada
NSD02-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD02,Sierra Nevada
NSD03-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD03,Sierra Nevada
NSD04-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD04,Sierra Nevada
NSD05-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD05,Sierra Nevada
NSD06-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD06,Sierra Nevada
NSD07-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD07,Sierra Nevada
NSD08-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD08,Sierra Nevada
NSD09-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD09,Sierra Nevada
NSD10-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD10,Sierra Nevada
NSD11-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD11,Sierra Nevada
NSD12-20220511,NA,2022-05-11,Event,Site Visit,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,2022,5,11,Europe,Spain,ES,Granada,Aldeire,Haza de los Montesinos,37.1350833333,-3.11755555556,37⁰ 08’ 06.3’’ N 03⁰ 07’ 03.2’’ W,1920,Pinus sylvestris tree,symptomatic,NSD12,Sierra Nevada
