measurementID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementMethod,measurementRemarks,eventID
NSD06S-20220511-S11,Sand,66.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S12,Slime,4.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S13,Clay,29.6,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S14,Field capacity,29.72,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD07S-20220511-S01,pH KCl,6.1,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S02,pH,6.9,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S03,Conductivity,116,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S05,Bicarbonate,78,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S06,Total N,0.17,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S07,Assimilable K,280.4,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S08,Assimilable P,6.9,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S09,Soil Organic Matter,3.72,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S10,Ratio C:N,12.69,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S11,Sand,61.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S12,Slime,12.9,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S13,Clay,25.8,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD07S-20220511-S14,Field capacity,26.65,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD07S-20220511
NSD08S-20220511-S01,pH KCl,6.67,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S02,pH,7,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S03,Conductivity,142,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S05,Bicarbonate,79,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S06,Total N,0.16,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S07,Assimilable K,335.4,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S08,Assimilable P,12.26,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S09,Soil Organic Matter,3.58,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S10,Ratio C:N,12.98,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S11,Sand,56.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S12,Slime,14.6,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S13,Clay,29.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD08S-20220511-S14,Field capacity,22.61,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD08S-20220511
NSD09S-20220511-S01,pH KCl,6.44,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S02,pH,7,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S03,Conductivity,86,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S05,Bicarbonate,49,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S06,Total N,0.13,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S07,Assimilable K,243.2,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S08,Assimilable P,9.86,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S09,Soil Organic Matter,2.27,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S10,Ratio C:N,10.13,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S11,Sand,60.1,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S12,Slime,13.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S13,Clay,26.6,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD09S-20220511-S14,Field capacity,22.84,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD09S-20220511
NSD10S-20220511-S01,pH KCl,6.4,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S02,pH,7,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S03,Conductivity,164,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S04,Sulphate,2.5,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S05,Bicarbonate,92,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S06,Total N,0.13,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S07,Assimilable K,405.2,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S08,Assimilable P,12.32,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S09,Soil Organic Matter,3.33,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S10,Ratio C:N,14.86,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S11,Sand,55.6,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S12,Slime,14.8,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S13,Clay,29.6,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S14,Field capacity,26.63,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD11S-20220511-S01,pH KCl,6.22,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S02,pH,6.9,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S03,Conductivity,132,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S05,Bicarbonate,78,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S06,Total N,0.14,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S07,Assimilable K,231.4,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S08,Assimilable P,7.58,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S09,Soil Organic Matter,2.38,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S10,Ratio C:N,9.86,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S11,Sand,54.1,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S12,Slime,19.4,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S13,Clay,29.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S14,Field capacity,24.72,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD12S-20220511-S01,pH KCl,5.86,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S02,pH,6.6,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S03,Conductivity,189,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S04,Sulphate,3,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S05,Bicarbonate,114,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S06,Total N,0.24,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S07,Assimilable K,241.4,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
